prompt,a,b,solution,carry_u,carry_d,completion,prediction,correct,bin
"118+4142=4260
3609+3544=7153
4571+2685=7256
88+266=",88,266,354,True,True,"118+4142=4260
3609+3544=7153
4571+2685=7256
88+266=354",354,True,"[300, 400)"
"786+3928=4714
664+2445=3109
3485+1056=4541
5+349=",5,349,354,True,False,"786+3928=4714
664+2445=3109
3485+1056=4541
5+349=354",354,True,"[300, 400)"
"2053+307=2360
941+1063=2004
2773+4639=7412
55+300=",55,300,355,False,False,"2053+307=2360
941+1063=2004
2773+4639=7412
55+300=355",355,True,"[300, 400)"
"1417+1595=3012
1124+4443=5567
2751+4563=7314
24+331=",24,331,355,False,False,"1417+1595=3012
1124+4443=5567
2751+4563=7314
24+331=355",355,True,"[300, 400)"
"1169+913=2082
1128+492=1620
3618+1719=5337
343+13=",343,13,356,False,False,"1169+913=2082
1128+492=1620
3618+1719=5337
343+13=356",356,True,"[300, 400)"
"2153+1412=3565
1503+1699=3202
2821+289=3110
325+31=",325,31,356,False,False,"2153+1412=3565
1503+1699=3202
2821+289=3110
325+31=356",356,True,"[300, 400)"
"305+2818=3123
584+1230=1814
2706+1422=4128
277+80=",277,80,357,False,True,"305+2818=3123
584+1230=1814
2706+1422=4128
277+80=357",357,True,"[300, 400)"
"4588+2025=6613
3374+4493=7867
3004+3300=6304
78+279=",78,279,357,True,True,"4588+2025=6613
3374+4493=7867
3004+3300=6304
78+279=357",357,True,"[300, 400)"
"3034+3248=6282
1413+1114=2527
457+383=840
140+218=",140,218,358,False,False,"3034+3248=6282
1413+1114=2527
457+383=840
140+218=358",358,True,"[300, 400)"
"1071+1511=2582
3781+4308=8089
3644+224=3868
265+93=",265,93,358,False,True,"1071+1511=2582
3781+4308=8089
3644+224=3868
265+93=358",358,True,"[300, 400)"
"2254+4076=6330
2110+463=2573
4655+1905=6560
234+125=",234,125,359,False,False,"2254+4076=6330
2110+463=2573
4655+1905=6560
234+125=359",359,True,"[300, 400)"
"4124+766=4890
2285+2825=5110
2647+160=2807
3+356=",3,356,359,False,False,"4124+766=4890
2285+2825=5110
2647+160=2807
3+356=359",359,True,"[300, 400)"
"4011+3128=7139
764+2491=3255
4481+2862=7343
157+203=",157,203,360,True,False,"4011+3128=7139
764+2491=3255
4481+2862=7343
157+203=360",360,True,"[300, 400)"
"2867+3104=5971
3223+3606=6829
387+2695=3082
352+8=",352,8,360,True,False,"2867+3104=5971
3223+3606=6829
387+2695=3082
352+8=360",360,True,"[300, 400)"
"941+1305=2246
4683+481=5164
222+516=738
113+248=",113,248,361,True,False,"941+1305=2246
4683+481=5164
222+516=738
113+248=361",361,True,"[300, 400)"
"4623+109=4732
3239+3542=6781
4616+113=4729
98+263=",98,263,361,True,True,"4623+109=4732
3239+3542=6781
4616+113=4729
98+263=361",361,True,"[300, 400)"
"4459+1849=6308
3271+241=3512
4538+1437=5975
358+4=",358,4,362,True,False,"4459+1849=6308
3271+241=3512
4538+1437=5975
358+4=362",362,True,"[300, 400)"
"872+199=1071
940+1187=2127
896+1400=2296
356+6=",356,6,362,True,False,"872+199=1071
940+1187=2127
896+1400=2296
356+6=362",362,True,"[300, 400)"
"1928+2886=4814
920+3257=4177
284+4655=4939
79+284=",79,284,363,True,True,"1928+2886=4814
920+3257=4177
284+4655=4939
79+284=363",363,True,"[300, 400)"
"1631+2850=4481
3594+1000=4594
1367+965=2332
223+140=",223,140,363,False,False,"1631+2850=4481
3594+1000=4594
1367+965=2332
223+140=363",363,True,"[300, 400)"
"3484+4451=7935
2737+1423=4160
1448+3501=4949
200+164=",200,164,364,False,False,"3484+4451=7935
2737+1423=4160
1448+3501=4949
200+164=364",364,True,"[300, 400)"
"1386+1551=2937
1890+4790=6680
2131+2401=4532
319+45=",319,45,364,True,False,"1386+1551=2937
1890+4790=6680
2131+2401=4532
319+45=364",364,True,"[300, 400)"
"1737+2528=4265
4667+3463=8130
4477+3512=7989
243+122=",243,122,365,False,False,"1737+2528=4265
4667+3463=8130
4477+3512=7989
243+122=365",365,True,"[300, 400)"
"3074+1042=4116
4940+1051=5991
1769+3309=5078
227+138=",227,138,365,True,False,"3074+1042=4116
4940+1051=5991
1769+3309=5078
227+138=365",365,True,"[300, 400)"
"1956+375=2331
2446+2567=5013
1594+4755=6349
68+298=",68,298,366,True,True,"1956+375=2331
2446+2567=5013
1594+4755=6349
68+298=366",366,True,"[300, 400)"
"3303+3204=6507
4467+4674=9141
4325+21=4346
344+22=",344,22,366,False,False,"3303+3204=6507
4467+4674=9141
4325+21=4346
344+22=366",366,True,"[300, 400)"
"444+354=798
4877+3218=8095
991+2488=3479
218+149=",218,149,367,True,False,"444+354=798
4877+3218=8095
991+2488=3479
218+149=367",367,True,"[300, 400)"
"720+4471=5191
3224+2849=6073
4780+3198=7978
14+353=",14,353,367,False,False,"720+4471=5191
3224+2849=6073
4780+3198=7978
14+353=367",367,True,"[300, 400)"
"1029+3845=4874
1003+2547=3550
188+3881=4069
312+56=",312,56,368,False,False,"1029+3845=4874
1003+2547=3550
188+3881=4069
312+56=368",368,True,"[300, 400)"
"1513+1894=3407
407+4362=4769
2670+3475=6145
354+14=",354,14,368,False,False,"1513+1894=3407
407+4362=4769
2670+3475=6145
354+14=368",368,True,"[300, 400)"
"3814+4060=7874
4186+4908=9094
4060+488=4548
69+300=",69,300,369,False,False,"3814+4060=7874
4186+4908=9094
4060+488=4548
69+300=369",369,True,"[300, 400)"
"1587+3447=5034
3815+1366=5181
4493+3015=7508
212+157=",212,157,369,False,False,"1587+3447=5034
3815+1366=5181
4493+3015=7508
212+157=370",370,False,"[300, 400)"
"1922+3629=5551
3705+3004=6709
3333+802=4135
207+163=",207,163,370,True,False,"1922+3629=5551
3705+3004=6709
3333+802=4135
207+163=370",370,True,"[300, 400)"
"2343+1580=3923
2159+260=2419
3767+1459=5226
143+227=",143,227,370,True,False,"2343+1580=3923
2159+260=2419
3767+1459=5226
143+227=370",370,True,"[300, 400)"
"3700+4814=8514
2669+1885=4554
3152+519=3671
301+70=",301,70,371,False,False,"3700+4814=8514
2669+1885=4554
3152+519=3671
301+70=371",371,True,"[300, 400)"
"1176+2509=3685
412+4966=5378
1387+2708=4095
262+109=",262,109,371,True,False,"1176+2509=3685
412+4966=5378
1387+2708=4095
262+109=371",371,True,"[300, 400)"
"3063+2955=6018
194+2549=2743
2459+3112=5571
91+281=",91,281,372,False,True,"3063+2955=6018
194+2549=2743
2459+3112=5571
91+281=372",372,True,"[300, 400)"
"361+3146=3507
3407+612=4019
4234+3960=8194
241+131=",241,131,372,False,False,"361+3146=3507
3407+612=4019
4234+3960=8194
241+131=372",372,True,"[300, 400)"
"2934+2326=5260
1069+206=1275
3459+3084=6543
167+206=",167,206,373,True,False,"2934+2326=5260
1069+206=1275
3459+3084=6543
167+206=373",373,True,"[300, 400)"
"1702+384=2086
2288+3387=5675
4182+3323=7505
273+100=",273,100,373,False,False,"1702+384=2086
2288+3387=5675
4182+3323=7505
273+100=373",373,True,"[300, 400)"
"603+2804=3407
1614+2887=4501
3729+1253=4982
92+282=",92,282,374,False,True,"603+2804=3407
1614+2887=4501
3729+1253=4982
92+282=374",374,True,"[300, 400)"
"2699+646=3345
3133+2719=5852
2610+604=3214
303+71=",303,71,374,False,False,"2699+646=3345
3133+2719=5852
2610+604=3214
303+71=374",374,True,"[300, 400)"
"4504+364=4868
3559+4077=7636
333+466=799
196+179=",196,179,375,True,True,"4504+364=4868
3559+4077=7636
333+466=799
196+179=375",375,True,"[300, 400)"
"2775+4325=7100
2117+3827=5944
4495+4320=8815
95+280=",95,280,375,False,True,"2775+4325=7100
2117+3827=5944
4495+4320=8815
95+280=375",375,True,"[300, 400)"
"775+4336=5111
1694+4041=5735
2869+151=3020
316+60=",316,60,376,False,False,"775+4336=5111
1694+4041=5735
2869+151=3020
316+60=376",376,True,"[300, 400)"
"865+4478=5343
3878+4017=7895
4768+3058=7826
167+209=",167,209,376,True,False,"865+4478=5343
3878+4017=7895
4768+3058=7826
167+209=376",376,True,"[300, 400)"
"1289+2068=3357
527+3932=4459
4968+4122=9090
282+95=",282,95,377,False,True,"1289+2068=3357
527+3932=4459
4968+4122=9090
282+95=377",377,True,"[300, 400)"
"230+1975=2205
3094+2687=5781
3502+4372=7874
249+128=",249,128,377,True,False,"230+1975=2205
3094+2687=5781
3502+4372=7874
249+128=377",377,True,"[300, 400)"
"3325+3303=6628
4759+343=5102
3113+3064=6177
318+60=",318,60,378,False,False,"3325+3303=6628
4759+343=5102
3113+3064=6177
318+60=378",378,True,"[300, 400)"
"1245+4487=5732
15+653=668
1337+1684=3021
332+46=",332,46,378,False,False,"1245+4487=5732
15+653=668
1337+1684=3021
332+46=378",378,True,"[300, 400)"
"662+3323=3985
3879+1121=5000
4413+350=4763
119+260=",119,260,379,False,False,"662+3323=3985
3879+1121=5000
4413+350=4763
119+260=379",379,True,"[300, 400)"
"2323+4737=7060
4698+2565=7263
678+3627=4305
53+326=",53,326,379,False,False,"2323+4737=7060
4698+2565=7263
678+3627=4305
53+326=379",379,True,"[300, 400)"
"3451+4816=8267
4298+2279=6577
243+2581=2824
366+14=",366,14,380,True,False,"3451+4816=8267
4298+2279=6577
243+2581=2824
366+14=380",380,True,"[300, 400)"
"2737+2810=5547
3869+948=4817
2813+1530=4343
331+49=",331,49,380,True,False,"2737+2810=5547
3869+948=4817
2813+1530=4343
331+49=380",380,True,"[300, 400)"
"4906+4265=9171
784+1860=2644
1594+4210=5804
338+43=",338,43,381,True,False,"4906+4265=9171
784+1860=2644
1594+4210=5804
338+43=381",381,True,"[300, 400)"
"3452+3892=7344
3138+3117=6255
459+3292=3751
158+223=",158,223,381,True,False,"3452+3892=7344
3138+3117=6255
459+3292=3751
158+223=381",381,True,"[300, 400)"
"4546+3963=8509
2217+1888=4105
3323+577=3900
290+92=",290,92,382,False,True,"4546+3963=8509
2217+1888=4105
3323+577=3900
290+92=382",382,True,"[300, 400)"
"3827+1102=4929
606+315=921
4104+4020=8124
318+64=",318,64,382,True,False,"3827+1102=4929
606+315=921
4104+4020=8124
318+64=382",382,True,"[300, 400)"
"4014+1126=5140
4604+4205=8809
348+4522=4870
12+371=",12,371,383,False,False,"4014+1126=5140
4604+4205=8809
348+4522=4870
12+371=383",383,True,"[300, 400)"
"4668+677=5345
889+1101=1990
426+2327=2753
11+372=",11,372,383,False,False,"4668+677=5345
889+1101=1990
426+2327=2753
11+372=383",383,True,"[300, 400)"
"2944+3599=6543
911+2510=3421
85+604=689
25+359=",25,359,384,True,False,"2944+3599=6543
911+2510=3421
85+604=689
25+359=384",384,True,"[300, 400)"
"2143+3064=5207
3912+1324=5236
3218+800=4018
83+301=",83,301,384,False,False,"2143+3064=5207
3912+1324=5236
3218+800=4018
83+301=384",384,True,"[300, 400)"
"2101+3262=5363
167+3168=3335
1451+1217=2668
138+247=",138,247,385,True,False,"2101+3262=5363
167+3168=3335
1451+1217=2668
138+247=385",385,True,"[300, 400)"
"4048+4291=8339
3035+4077=7112
275+3462=3737
67+318=",67,318,385,True,False,"4048+4291=8339
3035+4077=7112
275+3462=3737
67+318=385",385,True,"[300, 400)"
"3435+2373=5808
4560+3907=8467
1928+2430=4358
334+52=",334,52,386,False,False,"3435+2373=5808
4560+3907=8467
1928+2430=4358
334+52=386",386,True,"[300, 400)"
"39+3476=3515
2699+697=3396
3786+1725=5511
262+124=",262,124,386,False,False,"39+3476=3515
2699+697=3396
3786+1725=5511
262+124=386",386,True,"[300, 400)"
"2964+890=3854
702+198=900
262+1364=1626
72+315=",72,315,387,False,False,"2964+890=3854
702+198=900
262+1364=1626
72+315=387",387,True,"[300, 400)"
"787+4214=5001
2450+3989=6439
351+954=1305
211+176=",211,176,387,False,False,"787+4214=5001
2450+3989=6439
351+954=1305
211+176=387",387,True,"[300, 400)"
"2563+3638=6201
1025+3410=4435
41+3494=3535
307+81=",307,81,388,False,False,"2563+3638=6201
1025+3410=4435
41+3494=3535
307+81=388",388,True,"[300, 400)"
"897+4813=5710
1962+3479=5441
28+1153=1181
65+323=",65,323,388,False,False,"897+4813=5710
1962+3479=5441
28+1153=1181
65+323=388",388,True,"[300, 400)"
"3675+2311=5986
1228+3469=4697
459+381=840
383+6=",383,6,389,False,False,"3675+2311=5986
1228+3469=4697
459+381=840
383+6=441",441,False,"[300, 400)"
"4481+4233=8714
4960+4732=9692
1976+1219=3195
5+384=",5,384,389,False,False,"4481+4233=8714
4960+4732=9692
1976+1219=3195
5+384=389",389,True,"[300, 400)"
"177+2826=3003
358+404=762
4926+2205=7131
161+229=",161,229,390,True,False,"177+2826=3003
358+404=762
4926+2205=7131
161+229=390",390,True,"[300, 400)"
"838+4784=5622
2060+4124=6184
902+4883=5785
126+264=",126,264,390,True,False,"838+4784=5622
2060+4124=6184
902+4883=5785
126+264=390",390,True,"[300, 400)"
"209+2604=2813
4515+875=5390
946+499=1445
360+31=",360,31,391,False,False,"209+2604=2813
4515+875=5390
946+499=1445
360+31=391",391,True,"[300, 400)"
"551+3192=3743
2966+4288=7254
1195+2732=3927
330+61=",330,61,391,False,False,"551+3192=3743
2966+4288=7254
1195+2732=3927
330+61=391",391,True,"[300, 400)"
"2935+425=3360
947+4464=5411
3614+767=4381
160+232=",160,232,392,False,False,"2935+425=3360
947+4464=5411
3614+767=4381
160+232=392",392,True,"[300, 400)"
"444+3883=4327
2737+576=3313
636+3326=3962
373+19=",373,19,392,True,False,"444+3883=4327
2737+576=3313
636+3326=3962
373+19=392",392,True,"[300, 400)"
"3613+1414=5027
750+4156=4906
964+2950=3914
225+168=",225,168,393,True,False,"3613+1414=5027
750+4156=4906
964+2950=3914
225+168=393",393,True,"[300, 400)"
"1002+2985=3987
2017+3986=6003
450+3022=3472
232+161=",232,161,393,False,False,"1002+2985=3987
2017+3986=6003
450+3022=3472
232+161=393",393,True,"[300, 400)"
"3895+2661=6556
1705+3706=5411
2011+2527=4538
142+252=",142,252,394,False,False,"3895+2661=6556
1705+3706=5411
2011+2527=4538
142+252=394",394,True,"[300, 400)"
"2001+2858=4859
4093+1269=5362
2686+4898=7584
107+287=",107,287,394,True,False,"2001+2858=4859
4093+1269=5362
2686+4898=7584
107+287=394",394,True,"[300, 400)"
"3867+3142=7009
2602+4669=7271
4376+3757=8133
285+110=",285,110,395,False,False,"3867+3142=7009
2602+4669=7271
4376+3757=8133
285+110=395",395,True,"[300, 400)"
"746+3793=4539
374+4015=4389
4295+2055=6350
120+275=",120,275,395,False,False,"746+3793=4539
374+4015=4389
4295+2055=6350
120+275=395",395,True,"[300, 400)"
"4582+4465=9047
906+3004=3910
3821+3460=7281
72+324=",72,324,396,False,False,"4582+4465=9047
906+3004=3910
3821+3460=7281
72+324=396",396,True,"[300, 400)"
"1329+1000=2329
701+4092=4793
2130+716=2846
263+133=",263,133,396,False,False,"1329+1000=2329
701+4092=4793
2130+716=2846
263+133=396",396,True,"[300, 400)"
"3216+4573=7789
2991+4710=7701
2350+2748=5098
209+188=",209,188,397,True,False,"3216+4573=7789
2991+4710=7701
2350+2748=5098
209+188=397",397,True,"[300, 400)"
"1565+71=1636
4090+3109=7199
1679+3239=4918
188+209=",188,209,397,True,False,"1565+71=1636
4090+3109=7199
1679+3239=4918
188+209=397",397,True,"[300, 400)"
"926+3794=4720
3432+667=4099
2337+680=3017
2+396=",2,396,398,False,False,"926+3794=4720
3432+667=4099
2337+680=3017
2+396=498",498,False,"[300, 400)"
"3008+2854=5862
4090+3205=7295
1069+2998=4067
385+13=",385,13,398,False,False,"3008+2854=5862
4090+3205=7295
1069+2998=4067
385+13=398",398,True,"[300, 400)"
"479+2169=2648
2303+3413=5716
487+2384=2871
115+284=",115,284,399,False,False,"479+2169=2648
2303+3413=5716
487+2384=2871
115+284=399",399,True,"[300, 400)"
"2422+742=3164
4610+1014=5624
1409+1202=2611
32+367=",32,367,399,False,False,"2422+742=3164
4610+1014=5624
1409+1202=2611
32+367=399",399,True,"[300, 400)"
"186+2343=2529
2723+1232=3955
2482+3402=5884
170+230=",170,230,400,False,True,"186+2343=2529
2723+1232=3955
2482+3402=5884
170+230=399",399,False,"[400, 500)"
"2927+1061=3988
1815+2156=3971
1185+2662=3847
331+69=",331,69,400,True,True,"2927+1061=3988
1815+2156=3971
1185+2662=3847
331+69=390",390,False,"[400, 500)"
"271+810=1081
1262+4521=5783
4728+4907=9635
277+124=",277,124,401,True,True,"271+810=1081
1262+4521=5783
4728+4907=9635
277+124=391",391,False,"[400, 500)"
"1236+1957=3193
76+4723=4799
2298+1426=3724
2+399=",2,399,401,True,True,"1236+1957=3193
76+4723=4799
2298+1426=3724
2+399=401",401,True,"[400, 500)"
"3758+3865=7623
2392+4424=6816
1952+1638=3590
374+28=",374,28,402,True,True,"3758+3865=7623
2392+4424=6816
1952+1638=3590
374+28=402",402,True,"[400, 500)"
"4514+3896=8410
4094+15=4109
1578+1775=3353
257+145=",257,145,402,True,True,"4514+3896=8410
4094+15=4109
1578+1775=3353
257+145=402",402,True,"[400, 500)"
"4436+1799=6235
3890+2399=6289
1694+727=2421
34+369=",34,369,403,True,True,"4436+1799=6235
3890+2399=6289
1694+727=2421
34+369=373",373,False,"[400, 500)"
"1503+1253=2756
2453+933=3386
4591+4778=9369
174+229=",174,229,403,True,True,"1503+1253=2756
2453+933=3386
4591+4778=9369
174+229=393",393,False,"[400, 500)"
"1352+2598=3950
2772+4129=6901
1588+4396=5984
140+264=",140,264,404,False,True,"1352+2598=3950
2772+4129=6901
1588+4396=5984
140+264=394",394,False,"[400, 500)"
"2710+2877=5587
2533+4866=7399
3230+4859=8089
185+219=",185,219,404,True,True,"2710+2877=5587
2533+4866=7399
3230+4859=8089
185+219=394",394,False,"[400, 500)"
"3943+962=4905
2250+41=2291
4659+4244=8903
277+128=",277,128,405,True,True,"3943+962=4905
2250+41=2291
4659+4244=8903
277+128=405",405,True,"[400, 500)"
"653+3972=4625
867+1062=1929
3281+4273=7554
170+235=",170,235,405,False,True,"653+3972=4625
867+1062=1929
3281+4273=7554
170+235=405",405,True,"[400, 500)"
"2506+2984=5490
38+282=320
1301+2718=4019
341+65=",341,65,406,False,True,"2506+2984=5490
38+282=320
1301+2718=4019
341+65=406",406,True,"[400, 500)"
"3110+3454=6564
4529+1955=6484
4894+4064=8958
64+342=",64,342,406,False,True,"3110+3454=6564
4529+1955=6484
4894+4064=8958
64+342=348",348,False,"[400, 500)"
"3402+3216=6618
894+3909=4803
231+2144=2375
116+291=",116,291,407,False,True,"3402+3216=6618
894+3909=4803
231+2144=2375
116+291=407",407,True,"[400, 500)"
"4780+1512=6292
2678+3894=6572
1031+2422=3453
303+104=",303,104,407,False,False,"4780+1512=6292
2678+3894=6572
1031+2422=3453
303+104=407",407,True,"[400, 500)"
"2558+4834=7392
1809+2645=4454
4109+4580=8689
270+138=",270,138,408,False,True,"2558+4834=7392
1809+2645=4454
4109+4580=8689
270+138=408",408,True,"[400, 500)"
"866+1213=2079
1106+4687=5793
2110+1318=3428
265+143=",265,143,408,False,True,"866+1213=2079
1106+4687=5793
2110+1318=3428
265+143=408",408,True,"[400, 500)"
"3072+1668=4740
3214+4240=7454
1856+3335=5191
86+323=",86,323,409,False,True,"3072+1668=4740
3214+4240=7454
1856+3335=5191
86+323=331",331,False,"[400, 500)"
"488+2898=3386
275+2675=2950
417+141=558
270+139=",270,139,409,False,True,"488+2898=3386
275+2675=2950
417+141=558
270+139=409",409,True,"[400, 500)"
"1792+3239=5031
4617+3945=8562
2807+510=3317
269+141=",269,141,410,True,True,"1792+3239=5031
4617+3945=8562
2807+510=3317
269+141=400",400,False,"[400, 500)"
"2253+4021=6274
3173+958=4131
4664+3038=7702
69+341=",69,341,410,True,True,"2253+4021=6274
3173+958=4131
4664+3038=7702
69+341=350",350,False,"[400, 500)"
"2361+4224=6585
475+893=1368
2696+3191=5887
283+128=",283,128,411,True,True,"2361+4224=6585
475+893=1368
2696+3191=5887
283+128=411",411,True,"[400, 500)"
"3073+1845=4918
3709+2469=6178
417+520=937
386+25=",386,25,411,True,True,"3073+1845=4918
3709+2469=6178
417+520=937
386+25=411",411,True,"[400, 500)"
"4575+3207=7782
3612+2238=5850
2964+3905=6869
112+300=",112,300,412,False,False,"4575+3207=7782
3612+2238=5850
2964+3905=6869
112+300=412",412,True,"[400, 500)"
"1579+1955=3534
61+1395=1456
1736+1409=3145
23+389=",23,389,412,True,True,"1579+1955=3534
61+1395=1456
1736+1409=3145
23+389=412",412,True,"[400, 500)"
"681+188=869
3790+2366=6156
2634+2398=5032
169+244=",169,244,413,True,True,"681+188=869
3790+2366=6156
2634+2398=5032
169+244=413",413,True,"[400, 500)"
"662+1655=2317
3115+4539=7654
515+3115=3630
283+130=",283,130,413,False,True,"662+1655=2317
3115+4539=7654
515+3115=3630
283+130=413",413,True,"[400, 500)"
"4961+2516=7477
3359+2122=5481
4776+3253=8029
235+179=",235,179,414,True,True,"4961+2516=7477
3359+2122=5481
4776+3253=8029
235+179=414",414,True,"[400, 500)"
"3417+4647=8064
2155+3416=5571
3217+1325=4542
99+315=",99,315,414,True,True,"3417+4647=8064
2155+3416=5571
3217+1325=4542
99+315=414",414,True,"[400, 500)"
"3935+631=4566
1239+3462=4701
4674+4311=8985
2+413=",2,413,415,False,False,"3935+631=4566
1239+3462=4701
4674+4311=8985
2+413=415",415,True,"[400, 500)"
"2722+1751=4473
1432+2661=4093
3996+4292=8288
402+13=",402,13,415,False,False,"2722+1751=4473
1432+2661=4093
3996+4292=8288
402+13=415",415,True,"[400, 500)"
"4757+2281=7038
2290+367=2657
2246+360=2606
93+323=",93,323,416,False,True,"4757+2281=7038
2290+367=2657
2246+360=2606
93+323=416",416,True,"[400, 500)"
"474+1763=2237
3090+606=3696
2769+2254=5023
74+342=",74,342,416,False,True,"474+1763=2237
3090+606=3696
2769+2254=5023
74+342=416",416,True,"[400, 500)"
"828+4883=5711
1424+1387=2811
4912+47=4959
395+22=",395,22,417,False,True,"828+4883=5711
1424+1387=2811
4912+47=4959
395+22=417",417,True,"[400, 500)"
"1240+331=1571
4384+3986=8370
3546+4690=8236
102+315=",102,315,417,False,False,"1240+331=1571
4384+3986=8370
3546+4690=8236
102+315=417",417,True,"[400, 500)"
"1144+134=1278
4988+3249=8237
3135+4431=7566
154+264=",154,264,418,False,True,"1144+134=1278
4988+3249=8237
3135+4431=7566
154+264=418",418,True,"[400, 500)"
"1763+3417=5180
4218+2308=6526
3253+4571=7824
354+64=",354,64,418,False,True,"1763+3417=5180
4218+2308=6526
3253+4571=7824
354+64=418",418,True,"[400, 500)"
"42+460=502
2269+180=2449
190+3847=4037
319+100=",319,100,419,False,False,"42+460=502
2269+180=2449
190+3847=4037
319+100=419",419,True,"[400, 500)"
